Other Significant Conditions (Highest to Lowest) with Percentages:

Condition: None, Count: 636, Percentage: 52.0%
Condition: Attention-deficit/hyperactivity disorder; major depressive disorder; moderate polysubstance use disorder, Count: 1, Percentage: 0.08%
Condition: Parkinsonism; unspecified type, Count: 1, Percentage: 0.08%
Condition: Bipolar disorder type II complicated by suicidal ideation, Count: 1, Percentage: 0.08%
Condition: Dilated cardiomyopathy; probable psychosis in the setting of stimulant use, Count: 1, Percentage: 0.08%
Condition: Depression and prior suicidal ideation, Count: 1, Percentage: 0.08%
Condition: Bipolar disorder; arteriosclerotic cardiovascular disease; cerebral vascular accident/stroke; probable hematologic malignancy, Count: 1, Percentage: 0.08%
Condition: Traumatic brain injury; right lung mass, Count: 1, Percentage: 0.08%
Condition: Mild depression with social adjustment problems, Count: 1, Percentage: 0.08%
Condition: Major depressive disorder with psychotic features; generalized anxiety disorder; schizoaffective disorder bipolar type, Count: 1, Percentage: 0.08%
Condition: Major depression, Count: 1, Percentage: 0.08%
Condition: Depression and anxiety; prior reported suicide attempts, Count: 1, Percentage: 0.08%
Condition: Prior stroke; hypertension; hyperlipidemia; atherosclerotic cardiovascular disease, Count: 1, Percentage: 0.08%
Condition: Depression and anxiety, Count: 1, Percentage: 0.08%
Condition: Posttraumatic stress disorder with suicidal ideation, Count: 1, Percentage: 0.08%

Total Records: 1223
